path;total_conversions;total_conversion_value;total_null
Display > Display > Display > Display > Display > Display > Price_comparison > Price_comparison > Price_comparison;0;0;1
Display > Display > Display > Display > Display > Display > Price_comparison > SEA;0;0;1
Display > Display > Display > Display > Display > Display > SEO;0;0;4
Display > Display > Display > Display > Display > Display > SEO > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Display > Display > SEO > SEA;0;0;1
Display > Display > Display > Display > Display > Newsletter;9;653.4637068;184
Display > Display > Display > Display > Display > Newsletter > Affiliate;0;0;1
Display > Display > Display > Display > Display > Newsletter > Display > Display;0;0;1
Display > Display > Display > Display > Display > Newsletter > Display > Display > Display;0;0;1
Display > Display > Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Display > Newsletter > Display > Display > Display > Newsletter;0;0;1
Display > Display > Display > Display > Display > Newsletter > Newsletter;0;0;37
Display > Display > Display > Display > Display > Newsletter > Newsletter > Display > Display;0;0;1
Display > Display > Display > Display > Display > Newsletter > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter;0;0;1
Display > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter;0;0;6
Display > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter;0;0;3
Display > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter;0;0;1
Display > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Price_comparison;0;0;1
Display > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter > SEA > SEA > Retargeting > Retargeting;0;0;1
Display > Display > Display > Display > Display > Newsletter > Newsletter > SEA > SEA;0;0;1
Display > Display > Display > Display > Display > Newsletter > Newsletter > SEO > SEO > SEO > Display;0;0;1
Display > Display > Display > Display > Display > Newsletter > Price_comparison;0;0;1
Display > Display > Display > Display > Display > Newsletter > SEA;0;0;6
Display > Display > Display > Display > Display > Newsletter > SEA > Display > Display > Display > Display > Display > Display > Display > Newsletter;0;0;1
Display > Display > Display > Display > Display > Newsletter > SEA > SEA;0;0;1
Display > Display > Display > Display > Display > Newsletter > SEO;0;0;1
Display > Display > Display > Display > Display > Price_comparison;0;0;5
Display > Display > Display > Display > Display > Price_comparison > Price_comparison > Price_comparison > Price_comparison;0;0;3
Display > Display > Display > Display > Display > SEO;0;0;9
Display > Display > Display > Display > Display > SEO > SEO;0;0;1
Display > Display > Display > Display > Display > SEO > SEO > SEA;0;0;1
Display > Display > Display > Display > Display > SEO > SEO > SEO > SEO > SEO > SEA > SEA;0;0;1
Display > Display > Display > Display > Newsletter;5;326.9458903;230
Display > Display > Display > Display > Newsletter > Affiliate;0;0;1
Display > Display > Display > Display > Newsletter > Display > Display;0;0;1
Display > Display > Display > Display > Newsletter > Display > Display > Display;0;0;1
Display > Display > Display > Display > Newsletter > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Display > Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Newsletter;0;0;1
Display > Display > Display > Display > Newsletter > Newsletter;1;40.43369359;54
Display > Display > Display > Display > Newsletter > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Newsletter > Newsletter > Newsletter;0;0;8
Display > Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter;0;0;3
Display > Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter;0;0;2
Display > Display > Display > Display > Newsletter > Newsletter > Price_comparison;0;0;2
Display > Display > Display > Display > Newsletter > Newsletter > Retargeting;0;0;1
Display > Display > Display > Display > Newsletter > Newsletter > SEA;0;0;3
Display > Display > Display > Display > Newsletter > Newsletter > SEO > SEO;0;0;1
Display > Display > Display > Display > Newsletter > Other > Other;0;0;1
Display > Display > Display > Display > Newsletter > Other > Other > Other > Other;0;0;1
Display > Display > Display > Display > Newsletter > Price_comparison;0;0;1
Display > Display > Display > Display > Newsletter > Price_comparison > Price_comparison;0;0;1
Display > Display > Display > Display > Newsletter > SEA;2;170.4296919;7
Display > Display > Display > Display > Newsletter > SEA > Display > Display;0;0;1
Display > Display > Display > Display > Newsletter > SEA > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter;0;0;1
Display > Display > Display > Display > Newsletter > SEA > SEA;0;0;1
Display > Display > Display > Display > Newsletter > SEO;0;0;3
Display > Display > Display > Display > Price_comparison;0;0;9
Display > Display > Display > Display > Price_comparison > Affiliate > Affiliate;0;0;1
Display > Display > Display > Display > Price_comparison > Price_comparison;0;0;3
Display > Display > Display > Display > Price_comparison > Price_comparison > Price_comparison;0;0;1
Display > Display > Display > Display > Price_comparison > Price_comparison > Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > SEO;0;0;13
Display > Display > Display > Display > SEO > SEO;0;0;1
Display > Display > Display > Newsletter;12;866.2873718;319
Display > Display > Display > Newsletter > Affiliate;0;0;2
Display > Display > Display > Newsletter > Display;0;0;2
Display > Display > Display > Newsletter > Display > Display;0;0;1
Display > Display > Display > Newsletter > Display > Display > Display;0;0;1
Display > Display > Display > Newsletter > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Newsletter > Newsletter;3;239.8613365;63
Display > Display > Display > Newsletter > Newsletter > Affiliate;0;0;1
Display > Display > Display > Newsletter > Newsletter > Display > Display;0;0;1
Display > Display > Display > Newsletter > Newsletter > Display > Display > Display > Display;0;0;2
Display > Display > Display > Newsletter > Newsletter > Newsletter;0;0;20
Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter;0;0;5
Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Display > Display > Display;0;0;1
Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter;0;0;2
Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter;0;0;1
Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter > SEA;0;0;1
Display > Display > Display > Newsletter > Newsletter > Newsletter > SEA;0;0;1
Display > Display > Display > Newsletter > Newsletter > SEA;0;0;2
Display > Display > Display > Newsletter > Newsletter > SEO > Display;0;0;1
Display > Display > Display > Newsletter > Price_comparison;0;0;2
Display > Display > Display > Newsletter > SEA;0;0;6
Display > Display > Display > Newsletter > SEA > Display > Display > Display;0;0;1
Display > Display > Display > Newsletter > SEA > SEA > SEA;0;0;2
Display > Display > Display > Newsletter > SEA > SEO > SEO;0;0;1
Display > Display > Display > Newsletter > SEO;0;0;6
Display > Display > Display > Newsletter > SEO > SEO;0;0;3
Display > Display > Display > Price_comparison;0;0;10
Display > Display > Display > Price_comparison > Price_comparison;1;51.38614773;3
Display > Display > Display > SEO;1;64.34653283;13
Display > Display > Display > SEO > SEA > Display;0;0;1
Display > Display > Display > SEO > SEO;0;0;2
Display > Display > Newsletter;14;950.183875;373
Display > Display > Newsletter > Display;0;0;4
Display > Display > Newsletter > Display > Display;0;0;2
Display > Display > Newsletter > Display > Display > Display;0;0;1
Display > Display > Newsletter > Display > Display > Display > Display;0;0;1
Display > Display > Newsletter > Display > Display > Display > Display > Display > Affiliate > Affiliate > SEO;0;0;1
Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Display > Display > Newsletter > Newsletter;2;119.1665044;86
Display > Display > Newsletter > Newsletter > Affiliate;1;86.82499486;0
Display > Display > Newsletter > Newsletter > Display;0;0;1
Display > Display > Newsletter > Newsletter > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Newsletter > Newsletter > Newsletter;0;0;14
Display > Display > Newsletter > Newsletter > Newsletter > Display > Display > Display;0;0;1
Display > Display > Newsletter > Newsletter > Newsletter > Display > Display > Display > Display > Display > Display > Display > Newsletter;0;0;1
Display > Display > Newsletter > Newsletter > Newsletter > Newsletter;0;0;4
Display > Display > Newsletter > Newsletter > SEA;0;0;2
Display > Display > Newsletter > Newsletter > SEO;0;0;1
Display > Display > Newsletter > Other;0;0;1
Display > Display > Newsletter > Price_comparison;0;0;1
Display > Display > Newsletter > Price_comparison > Display;0;0;1
Display > Display > Newsletter > Price_comparison > Price_comparison > Price_comparison;0;0;1
Display > Display > Newsletter > Retargeting;0;0;3
Display > Display > Newsletter > Retargeting > Other > Other > Other;0;0;1
Display > Display > Newsletter > SEA;0;0;14
Display > Display > Newsletter > SEA > Display;0;0;1
Display > Display > Newsletter > SEA > SEA;0;0;2
Display > Display > Newsletter > SEA > SEA > SEA > SEA;0;0;1
Display > Display > Newsletter > SEA > SEO;0;0;1
Display > Display > Newsletter > SEO;0;0;4
Display > Display > Newsletter > SEO > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Newsletter > SEO > SEA > SEA > SEA > SEA > SEO > SEO > Display;0;0;1
Display > Display > Newsletter > SEO > SEO;0;0;2
Display > Display > Price_comparison;0;0;15
Display > Display > Price_comparison > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Price_comparison > Price_comparison;0;0;6
Display > Display > Price_comparison > Price_comparison > Price_comparison;0;0;2
Display > Display > SEO;0;0;9
Display > Display > SEO > SEA > SEO;1;66.63969565;0
Display > Display > SEO > SEO;0;0;4
Display > Display > SEO > SEO > SEO;0;0;2
Display > Newsletter;13;908.8856267;499
Display > Newsletter > Affiliate > SEO;0;0;1
Display > Newsletter > Display;0;0;3
Display > Newsletter > Display > Display;0;0;2
Display > Newsletter > Display > Display > Display;0;0;2
Display > Newsletter > Display > Display > Display > Display;0;0;1
Display > Newsletter > Display > Display > Display > Display > Display > Display;0;0;1
Display > Newsletter > Display > Display > Display > Display > Display > Display > Display;0;0;2
Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Newsletter > Display > Display > Display > Display > Display > Newsletter;0;0;1
Display > Newsletter > Display > Display > Display > Newsletter;0;0;2
Display > Newsletter > Display > Display > Newsletter > Newsletter;0;0;1
Display > Newsletter > Newsletter;2;147.9103806;107
Display > Newsletter > Newsletter > Display;0;0;2
Display > Newsletter > Newsletter > Display > Display > Display;0;0;1
Display > Newsletter > Newsletter > Display > Display > Display > Display;0;0;1
Display > Newsletter > Newsletter > Display > Display > Display > Display > Display;0;0;1
Display > Newsletter > Newsletter > Display > Display > Display > Display > Display > Display;0;0;1
Display > Newsletter > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Newsletter > Newsletter > Display > Display > Display > Display > Display > Newsletter;0;0;1
Display > Newsletter > Newsletter > Newsletter;0;0;22
Display > Newsletter > Newsletter > Newsletter > Newsletter;0;0;1
Display > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter;0;0;1
Display > Newsletter > Newsletter > Newsletter > Newsletter > Retargeting;0;0;1
Display > Newsletter > Newsletter > Newsletter > SEO;0;0;2
Display > Newsletter > Newsletter > SEA;1;81.49896642;7
Display > Newsletter > Newsletter > SEA > SEA;0;0;1
Display > Newsletter > Newsletter > SEO;0;0;1
Display > Newsletter > Price_comparison;0;0;4
Display > Newsletter > Price_comparison > Display > Display;0;0;1
Display > Newsletter > Price_comparison > Price_comparison;0;0;1
Display > Newsletter > Retargeting > Retargeting > SEO > SEO;0;0;1
Display > Newsletter > SEA;0;0;15
Display > Newsletter > SEA > Display > Display > Display > Display;0;0;1
Display > Newsletter > SEA > Display > Display > Display > Display > Display > Display;0;0;1
Display > Newsletter > SEA > SEA;0;0;4
Display > Newsletter > SEA > SEA > SEA;1;73.68243179;1
Display > Newsletter > SEA > SEO;1;88.4812019;0
Display > Newsletter > SEA > SEO > SEO;0;0;1
Display > Newsletter > SEO;0;0;6
Display > Newsletter > SEO > SEA;0;0;1
Display > Newsletter > SEO > SEO;0;0;6
Display > Price_comparison;1;50.67908644;21
Display > Price_comparison > Affiliate;0;0;1
Display > Price_comparison > Display;0;0;1
Display > Price_comparison > Price_comparison;0;0;3
Display > Price_comparison > Price_comparison > Price_comparison;0;0;1
Display > Price_comparison > Price_comparison > Retargeting;0;0;1
Display > Price_comparison > SEO;0;0;1
Display > SEO;0;0;20
Display > SEO > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > SEO > SEA;0;0;1
Display > SEO > SEA > SEA;0;0;1
Display > SEO > SEO;0;0;4
Display > SEO > SEO > SEO;0;0;2
Display > SEO > SEO > SEO > SEO;0;0;1
Newsletter;32;2235.862187;1367
Newsletter > Affiliate;0;0;3
Newsletter > Affiliate > Affiliate;0;0;2
Newsletter > Affiliate > Affiliate > SEO > SEO;0;0;1
Newsletter > Display;0;0;10
Newsletter > Display > Display;0;0;4
Newsletter > Display > Display > Display;0;0;4
Newsletter > Display > Display > Display > Display;0;0;4
Newsletter > Display > Display > Display > Display > Display;0;0;1
Newsletter > Display > Display > Display > Display > Display > Display;0;0;3
Newsletter > Display > Display > Display > Display > Display > Display > Display;0;0;3
Newsletter > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Newsletter > Display > Display > Display > Newsletter;0;0;1
Newsletter > Display > Display > Display > SEO;0;0;1
Newsletter > Display > Display > Newsletter;0;0;1
Newsletter > Newsletter;4;303.1524319;311
Newsletter > Newsletter > Affiliate;0;0;1
Newsletter > Newsletter > Display;0;0;2
Newsletter > Newsletter > Display > Display;0;0;3
Newsletter > Newsletter > Display > Display > Display;0;0;2
Newsletter > Newsletter > Display > Display > Display > Display > Display;0;0;1
Newsletter > Newsletter > Display > Display > Display > Display > Display > Display > Display;0;0;2
Newsletter > Newsletter > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Newsletter > Newsletter > Display > Display > Display > Newsletter;0;0;1
Newsletter > Newsletter > Newsletter;1;90.84226375;75
Newsletter > Newsletter > Newsletter > Display;0;0;1
Newsletter > Newsletter > Newsletter > Newsletter;0;0;13
Newsletter > Newsletter > Newsletter > Newsletter > Newsletter;0;0;4
Newsletter > Newsletter > Newsletter > Retargeting;0;0;1
Newsletter > Newsletter > Newsletter > SEA;0;0;4
Newsletter > Newsletter > Newsletter > SEO > SEO;0;0;1
Newsletter > Newsletter > Newsletter > SEO > SEO > SEO;0;0;1
Newsletter > Newsletter > Other > Other > Other;0;0;1
Newsletter > Newsletter > Price_comparison;0;0;1
Newsletter > Newsletter > Price_comparison > Price_comparison;0;0;1
Newsletter > Newsletter > Retargeting;0;0;1
Newsletter > Newsletter > SEA;0;0;9
Newsletter > Newsletter > SEA > SEA;0;0;4
Newsletter > Newsletter > SEO;0;0;3
Newsletter > Newsletter > SEO > SEA;0;0;1
Newsletter > Newsletter > SEO > SEO;0;0;1
Newsletter > Other;0;0;4
Newsletter > Other > Other;0;0;1
Newsletter > Price_comparison;0;0;5
Newsletter > Retargeting;0;0;2
Newsletter > Retargeting > Retargeting;0;0;2
Newsletter > SEA;0;0;39
Newsletter > SEA > Affiliate > Affiliate;0;0;1
Newsletter > SEA > Display;0;0;1
Newsletter > SEA > Display > Display;0;0;1
Newsletter > SEA > Other;0;0;1
Newsletter > SEA > Retargeting > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Newsletter > SEA > SEA;0;0;8
Newsletter > SEA > SEA > Display > Display > Display > Display;0;0;1
Newsletter > SEA > SEA > SEA;0;0;3
Newsletter > SEA > SEA > SEA > SEA;0;0;1
Newsletter > SEA > SEA > SEA > SEA > SEA;0;0;1
Newsletter > SEA > SEA > SEA > SEA > SEA > SEA;0;0;1
Newsletter > SEA > SEO > Display > Display;0;0;1
Newsletter > SEA > SEO > SEO;0;0;1
Newsletter > SEO;0;0;16
Newsletter > SEO > SEA;0;0;1
Newsletter > SEO > SEO;0;0;4
Other;13;960.2266856;2960
Other > Affiliate;1;62.9719749;24
Other > Affiliate > Affiliate;0;0;1
Other > Affiliate > Affiliate > Affiliate;0;0;1
Other > Affiliate > Other;0;0;1
Other > Display;0;0;30
Other > Display > Display;0;0;17
Other > Display > Display > Display;0;0;20
Other > Display > Display > Display > Display;0;0;8
Other > Display > Display > Display > Display > Display;0;0;7
Other > Display > Display > Display > Display > Display > Display;0;0;8
Other > Display > Display > Display > Display > Display > Display > Affiliate > Affiliate;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display;0;0;6
Other > Display > Display > Display > Display > Display > Display > Display > Display;0;0;4
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter;0;0;2
Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter > Newsletter;0;0;1
Other > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter > Newsletter;0;0;2
Other > Display > Display > Display > Display > Display > Newsletter;0;0;1
Other > Display > Display > Display > Display > Newsletter;0;0;1
Other > Display > Display > Newsletter;0;0;2
Other > Display > Newsletter;0;0;1
Other > Newsletter;0;0;6
Other > Newsletter > Newsletter;0;0;2
Other > Newsletter > Newsletter > SEO;0;0;1
Other > Other;5;365.5752403;641
Other > Other > Affiliate;2;87.53297441;3
Other > Other > Affiliate > Affiliate;1;95.87726684;1
Other > Other > Affiliate > Affiliate > Display > Display > Display;0;0;1
Other > Other > Display;0;0;4
Other > Other > Display > Affiliate > Affiliate;0;0;1
Other > Other > Display > Display;0;0;4
Other > Other > Display > Display > Display;0;0;2
Other > Other > Display > Display > Display > Display;0;0;4
Other > Other > Display > Display > Display > Display > Display;0;0;1
Other > Other > Display > Display > Display > Display > Display > Display;0;0;2
Other > Other > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Other > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Other > Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter > Newsletter > Newsletter;0;0;1
Other > Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter > Newsletter;0;0;1
Other > Other > Display > Display > Display > Display > Display > Display > Newsletter;0;0;1
Other > Other > Display > Display > Display > Display > Display > Newsletter;0;0;1
Other > Other > Newsletter;0;0;1
Other > Other > Newsletter > Newsletter;0;0;1
Other > Other > Other;2;138.8524703;146
Other > Other > Other > Affiliate > Affiliate;1;48.10529917;0
Other > Other > Other > Display;0;0;1
Other > Other > Other > Display > Display > Display;0;0;1
Other > Other > Other > Display > Display > Display > Display > Display;0;0;1
Other > Other > Other > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > Other > Other > Display > Display > Newsletter;0;0;1
Other > Other > Other > Other;0;0;25
Other > Other > Other > Other > Other;0;0;5
Other > Other > Other > Other > Other > Other;0;0;1
Other > Other > Other > Other > Other > Other > Display > Display > Display > Display > Display;0;0;1
Other > Other > Other > Other > Other > Other > Other > Other;0;0;1
Other > Other > Other > Other > Other > SEA;0;0;1
Other > Other > Other > Other > SEA;0;0;3
Other > Other > Other > Other > SEA > SEA > SEO;0;0;1
Other > Other > Other > Price_comparison;0;0;3
Other > Other > Other > SEA;0;0;10
Other > Other > Other > SEA > SEA;0;0;1
Other > Other > Other > SEA > SEA > SEA;0;0;1
Other > Other > Other > SEA > SEA > SEA > SEA > SEA > SEA;0;0;1
Other > Other > Other > SEA > SEO;0;0;1
Other > Other > Other > SEO;0;0;1
Other > Other > Price_comparison;0;0;5
Other > Other > Price_comparison > Price_comparison;1;62.22331109;1
Other > Other > Price_comparison > SEA > SEA > SEO;0;0;1
Other > Other > SEA;1;54.80376377;41
Other > Other > SEA > Display;0;0;1
Other > Other > SEA > Other;0;0;1
Other > Other > SEA > Retargeting > Retargeting;0;0;1
Other > Other > SEA > SEA;0;0;6
Other > Other > SEA > SEA > Display > Newsletter;0;0;1
Other > Other > SEA > SEA > SEA;0;0;2
Other > Other > SEA > SEA > SEA > SEA > SEO;0;0;1
Other > Other > SEA > SEA > SEO;0;0;1
Other > Other > SEA > SEO;0;0;1
Other > Other > SEO;0;0;3
Other > Other > SEO > SEO;0;0;3
Other > Other > SEO > SEO > SEO;0;0;1
Other > Price_comparison;0;0;18
Other > Price_comparison > Price_comparison;0;0;6
Other > Price_comparison > Price_comparison > Newsletter;0;0;1
Other > Price_comparison > Price_comparison > Price_comparison > SEA;0;0;1
Other > Price_comparison > SEA;0;0;1
Other > SEA;1;78.73928773;152
Other > SEA > Display;0;0;2
Other > SEA > Display > Display;0;0;1
Other > SEA > Display > Display > Display;0;0;1
Other > SEA > Display > Display > Display > Display;0;0;2
Other > SEA > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > SEA > Display > Display > Display > Newsletter > Display > Display > Display > Display > Display > Display > Display;0;0;1
Other > SEA > Display > Display > Newsletter > SEA;0;0;1
Other > SEA > Other > Other > Other;0;0;1
Other > SEA > Other > SEA;0;0;1
Other > SEA > Price_comparison > SEA;0;0;1
Other > SEA > SEA;1;69.95804227;43
Other > SEA > SEA > SEA;0;0;6
Other > SEA > SEA > SEA > SEA;0;0;1
Other > SEA > SEA > SEA > SEA > SEO;0;0;1
Other > SEA > SEA > SEA > SEO;0;0;1
Other > SEA > SEA > SEO;0;0;1
Other > SEA > SEA > SEO > Affiliate > Display;0;0;1
Other > SEA > SEO;0;0;8
Other > SEA > SEO > Affiliate > Affiliate;0;0;1
Other > SEA > SEO > SEA;0;0;2
Other > SEA > SEO > SEO;0;0;1
Other > SEA > SEO > SEO > SEO;0;0;3
Other > SEO;1;76.78392389;21
Other > SEO > Display > Display > Display;0;0;1
Other > SEO > Display > Display > Display > Display;0;0;1
Other > SEO > Retargeting;0;0;1
Other > SEO > SEA;0;0;2
Other > SEO > SEA > SEA;0;0;2
Other > SEO > SEO;0;0;6
Other > SEO > SEO > SEO;0;0;2
Other > SEO > SEO > SEO > SEO;0;0;2
Price_comparison;74;5186.680851;4585
Price_comparison > Affiliate;1;81.32974845;14
Price_comparison > Affiliate > Affiliate;0;0;1
Price_comparison > Affiliate > Affiliate > Affiliate;0;0;1
Price_comparison > Affiliate > Price_comparison > Display > Display;0;0;1
Price_comparison > Display;0;0;35
Price_comparison > Display > Display;0;0;19
Price_comparison > Display > Display > Affiliate > Affiliate;0;0;1
Price_comparison > Display > Display > Display;0;0;26
Price_comparison > Display > Display > Display > Display;0;0;18
Price_comparison > Display > Display > Display > Display > Display;0;0;14
Price_comparison > Display > Display > Display > Display > Display > Display;0;0;8
Price_comparison > Display > Display > Display > Display > Display > Display > Display;0;0;4
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Affiliate;0;0;1
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display;0;0;7
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;3
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;5
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;5
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Newsletter;0;0;1
Price_comparison > Display > Display > Display > Display > Newsletter;0;0;2
Price_comparison > Display > Display > Display > Display > Newsletter > Newsletter > Newsletter;0;0;1
Price_comparison > Display > Display > Display > Newsletter;0;0;1
Price_comparison > Display > Display > Newsletter;0;0;2
Price_comparison > Display > Display > Newsletter > Newsletter;0;0;1
Price_comparison > Display > Display > SEO;0;0;1
Price_comparison > Display > Newsletter;0;0;5
Price_comparison > Display > Newsletter > Newsletter;0;0;1
Price_comparison > Display > Newsletter > SEO > SEO > Newsletter;0;0;1
Price_comparison > Display > Price_comparison;0;0;1
Price_comparison > Newsletter;0;0;2
Price_comparison > Newsletter > Newsletter;0;0;2
Price_comparison > Other;0;0;7
Price_comparison > Other > Other > Other > Other;0;0;1
Price_comparison > Other > SEA > SEA;0;0;1
Price_comparison > Price_comparison;8;509.9832726;1039
Price_comparison > Price_comparison > Affiliate;0;0;1
Price_comparison > Price_comparison > Affiliate > Affiliate;0;0;2
Price_comparison > Price_comparison > Affiliate > Display > Display;0;0;1
Price_comparison > Price_comparison > Display;0;0;10
Price_comparison > Price_comparison > Display > Display;0;0;3
Price_comparison > Price_comparison > Display > Display > Display;0;0;7
Price_comparison > Price_comparison > Display > Display > Display > Display;0;0;5
Price_comparison > Price_comparison > Display > Display > Display > Display > Display;0;0;3
Price_comparison > Price_comparison > Display > Display > Display > Display > Display > Display;0;0;3
Price_comparison > Price_comparison > Display > Display > Display > Display > Display > Display > Display;0;0;1
Price_comparison > Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Price_comparison > Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Price_comparison > Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Price_comparison > Price_comparison > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
