path;total_conversions;total_conversion_value;total_null
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;10
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Affiliate > Affiliate > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;9
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;12
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;8
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;3
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;1
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;3
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display > Display;0;0;2
